date,hour_range,id,demand,frequency,coal,nuclear,ccgt,wind,pumped,hydro,biomass,oil,solar,ocgt,french_ict,dutch_ict,irish_ict,ew_ict,nemo,other,north_south,scotland_england,ifa2,intelec_ict,nsl,vkl_ict
2024-09-03,12:00 - 13:00,1393639.5,27954.833333333332,49.99733366666667,585.4166666666666,4806.333333333333,9875.25,3062.75,0.0,481.6666666666667,3026.5833333333335,0.0,6159.505900083333,0.9166666666666666,1155.8333333333333,454.5833333333333,-421.0,-158.33333333333334,801.6666666666666,244.91666666666666,0.0,0.0,501.9166666666667,550.5,1397.0,980.0
2024-09-03,13:00 - 14:00,1393651.5,26908.5,50.03541625,623.0833333333334,4808.083333333333,10451.666666666666,3028.6666666666665,12.916666666666666,472.0,3076.5,0.0,6106.572509583333,1.75,848.75,258.0833333333333,-371.3333333333333,-36.166666666666664,417.5,237.0,0.0,0.0,311.5833333333333,294.8333333333333,1397.0,669.0833333333334
2024-09-03,14:00 - 15:00,1393663.5,27048.666666666668,50.02666658333334,568.6666666666666,4811.416666666667,11377.5,3249.5833333333335,50.583333333333336,442.75,3086.5,0.0,5440.67500825,0.16666666666666666,881.4166666666666,319.25,-266.1666666666667,9.416666666666666,177.41666666666666,263.1666666666667,0.0,0.0,362.6666666666667,19.916666666666668,1397.0,-102.91666666666667
2024-09-03,15:00 - 16:00,1393675.5,29464.083333333332,50.03875033333333,765.9166666666666,4811.583333333333,12990.583333333334,3599.8333333333335,0.0,504.4166666666667,3072.0,0.0,4416.130879666666,21.0,1086.9166666666667,-270.3333333333333,-258.0,-30.0,13.25,354.4166666666667,0.0,0.0,636.25,102.5,1397.0,-728.0
2024-09-03,16:00 - 17:00,1393687.5,32429.0,50.01533325,767.0,4805.166666666667,15441.916666666666,3438.0,116.33333333333333,614.9166666666666,3065.0833333333335,0.0,3068.2699990833335,0.8333333333333334,1060.0833333333333,-861.5,-258.0,-0.6666666666666666,-423.5,465.0,0.0,0.0,719.6666666666666,555.25,1397.0,-1092.8333333333333
2024-09-03,17:00 - 18:00,1393699.5,33853.75,49.94991616666667,825.4166666666666,4802.666666666667,16328.25,3101.0,289.8333333333333,658.75,3087.0833333333335,0.0,1603.7200114999998,1.0,1186.8333333333333,-1048.8333333333333,-258.0,0.0,-932.5,565.75,0.0,0.0,864.25,755.75,1397.25,-1096.0
2024-09-03,18:00 - 19:00,1393711.5,34532.916666666664,50.05758316666667,859.0,4807.916666666667,16589.75,2860.1666666666665,290.0,699.25,3085.0833333333335,0.0,476.2994156666667,0.6666666666666666,1391.75,-1045.0,-258.0,0.0,-1020.0,771.0833333333334,0.0,0.0,933.25,843.9166666666666,1398.0,-1096.0
2024-09-03,19:00 - 20:00,1393723.5,33912.0,50.069332833333334,861.3333333333334,4807.416666666667,16471.75,3040.4166666666665,193.33333333333334,719.0,3092.0833333333335,0.0,16.166813916666666,0.75,993.0833333333334,-969.3333333333334,-220.66666666666666,0.0,-885.8333333333334,642.0833333333334,0.0,0.0,751.25,941.3333333333334,1398.1666666666667,-1096.0
2024-09-03,20:00 - 21:00,1393735.5,30724.75,50.01466608333334,714.25,4798.583333333333,15871.083333333334,2845.4166666666665,11.916666666666666,710.9166666666666,3092.0,0.0,0.0,0.6666666666666666,346.5833333333333,-709.5,-145.16666666666666,0.0,-404.5,271.5,0.0,0.0,273.3333333333333,346.4166666666667,1398.4166666666667,-1006.1666666666666
2024-09-03,21:00 - 22:00,1393747.5,28062.75,50.02683325,614.8333333333334,4806.5,14743.25,2263.0,0.5833333333333334,605.0,3069.5,0.0,0.0,1.0,-20.666666666666668,-534.0,-95.0,28.75,-240.0,191.0,0.0,0.0,131.16666666666666,154.83333333333334,1398.1666666666667,-931.0
2024-09-03,22:00 - 23:00,1393759.5,24879.333333333332,49.97266616666667,333.0,4803.916666666667,11339.333333333334,2134.75,55.25,470.9166666666667,2903.8333333333335,0.0,0.0,0.8333333333333334,278.1666666666667,-667.5,20.833333333333332,0.0,-265.0,244.83333333333334,0.0,0.0,393.9166666666667,196.41666666666666,1397.9166666666667,-824.6666666666666
2024-09-03,23:00 - 00:00,1393771.5,23420.916666666668,49.9783335,0.0,4804.75,10779.833333333334,1601.75,12.833333333333334,365.0833333333333,3089.25,0.0,0.0,1.0833333333333333,598.1666666666666,-704.0,-84.0,0.0,-68.0,183.58333333333334,0.0,0.0,455.75,130.16666666666666,1398.6666666666667,-809.0
2024-09-04,00:00 - 01:00,1393783.5,23249.75,49.96500016666667,0.0,4805.083333333333,10781.583333333334,1172.4166666666667,0.0,331.8333333333333,3092.4166666666665,0.0,0.0,1.3333333333333333,712.0,-747.6666666666666,-221.16666666666666,0.0,-114.0,200.91666666666666,0.0,0.0,255.66666666666666,497.5833333333333,1398.9166666666667,-968.3333333333334
2024-09-04,01:00 - 02:00,1393795.5,23009.916666666668,50.01166691666666,0.0,4808.0,10165.833333333334,1180.3333333333333,0.0,329.25,2993.75,0.0,0.0,1.25,913.75,-890.0,-159.0,0.0,-135.0,171.16666666666666,0.0,0.0,528.0833333333334,522.1666666666666,1398.9166666666667,-1027.0
2024-09-04,02:00 - 03:00,1393807.5,23181.5,49.997583416666664,0.0,4812.083333333333,9955.75,1154.5833333333333,0.0,330.0833333333333,3066.9166666666665,0.0,0.0,1.25,1111.5,-954.0,-120.0,0.0,-144.0,166.58333333333334,0.0,0.0,495.5,688.6666666666666,1398.5833333333333,-1076.0
2024-09-04,03:00 - 04:00,1393819.5,22877.583333333332,50.015834000000005,0.0,4814.25,10131.666666666666,1085.8333333333333,0.0,330.25,3120.6666666666665,0.0,0.0,1.0833333333333333,986.75,-1011.0,-75.0,0.0,-324.0,162.33333333333334,0.0,0.0,411.75,434.0,1399.0,-1083.0
2024-09-04,04:00 - 05:00,1393831.5,23528.166666666668,50.00049958333333,38.583333333333336,4813.666666666667,10984.833333333334,1006.1666666666666,0.0,389.6666666666667,3150.3333333333335,0.0,0.0,1.1666666666666667,870.25,-1032.8333333333333,38.333333333333336,0.0,-745.8333333333334,182.16666666666666,0.0,0.0,393.75,223.33333333333334,1398.8333333333333,-1090.0
2024-09-04,05:00 - 06:00,1393843.5,26526.916666666668,49.95391708333333,388.0,4812.333333333333,13150.75,1196.25,35.083333333333336,603.3333333333334,3159.5833333333335,0.0,6.858333333333334e-05,1.5,739.3333333333334,-1037.0,8.333333333333334,10.25,-1019.0,419.1666666666667,0.0,0.0,325.3333333333333,279.5833333333333,1398.0833333333333,-1092.0
2024-09-04,06:00 - 07:00,1393855.5,29157.75,50.03591658333334,672.4166666666666,4810.5,14010.166666666666,1214.5833333333333,172.0,694.9166666666666,3164.0,0.0,161.09343933333332,0.6666666666666666,1120.6666666666667,-975.0,-36.0,-29.916666666666668,-730.0,853.6666666666666,0.0,0.0,551.3333333333334,494.3333333333333,1397.4166666666667,-940.0
2024-09-04,07:00 - 08:00,1393867.5,29305.416666666668,50.043917,619.0,4813.666666666667,13968.0,1468.0833333333333,12.166666666666666,610.25,3162.8333333333335,0.0,1129.58716325,2.0,993.9166666666666,-212.16666666666666,-287.3333333333333,-160.5,-216.66666666666666,443.6666666666667,0.0,0.0,714.1666666666666,523.25,1397.1666666666667,-195.16666666666666
2024-09-04,08:00 - 09:00,1393879.5,28682.166666666668,50.057333416666665,657.4166666666666,4811.0,13333.333333333334,1606.3333333333333,14.166666666666666,481.4166666666667,3162.1666666666665,0.0,2594.42084775,1.5,1001.1666666666666,135.25,-445.6666666666667,-162.33333333333334,178.41666666666666,172.5,0.0,0.0,776.6666666666666,399.8333333333333,1397.0,553.3333333333334
2024-09-04,09:00 - 10:00,1393891.5,27312.583333333332,50.03216658333333,537.0833333333334,4803.166666666667,12863.166666666666,1524.1666666666667,102.41666666666667,452.8333333333333,3162.1666666666665,0.0,4157.743347166666,1.25,780.25,180.75,-452.0,-72.16666666666667,194.41666666666666,144.91666666666666,0.0,0.0,547.5,410.5,1397.0,211.0
